wl new,corr new
430,1.05007
430.5,1.05248
431,1.05498
431.5,1.05755
432,1.0602
432.5,1.06293
433,1.06574
433.5,1.06862
434,1.07157
434.5,1.0746
435,1.07771
435.5,1.08088
436,1.08413
436.5,1.08745
437,1.09084
437.5,1.09431
438,1.09784
438.5,1.10144
439,1.10511
439.5,1.10885
440,1.11265
440.5,1.11653
441,1.12046
441.5,1.12447
442,1.12854
442.5,1.13267
443,1.13686
443.5,1.14112
444,1.14545
444.5,1.14983
445,1.15428
445.5,1.15879
446,1.16335
446.5,1.16798
447,1.17267
447.5,1.17742
448,1.18222
448.5,1.18708
449,1.19201
449.5,1.19698
450,1.20202
450.5,1.20711
451,1.21226
451.5,1.21746
452,1.22272
452.5,1.22803
453,1.2334
453.5,1.23882
454,1.24429
454.5,1.24982
455,1.2554
455.5,1.26103
456,1.26671
456.5,1.27245
457,1.27824
457.5,1.28408
458,1.28996
458.5,1.2959
459,1.30189
459.5,1.30793
460,1.31402
460.5,1.32015
461,1.32634
461.5,1.33257
462,1.33886
462.5,1.34519
463,1.35157
463.5,1.35799
464,1.36446
464.5,1.37099
465,1.37755
465.5,1.38417
466,1.39083
466.5,1.39753
467,1.40429
467.5,1.41109
468,1.41793
468.5,1.42482
469,1.43176
469.5,1.43874
470,1.44577
470.5,1.45284
471,1.45995
471.5,1.46711
472,1.47432
472.5,1.48157
473,1.48887
473.5,1.49621
474,1.50359
474.5,1.51102
475,1.51849
475.5,1.52601
476,1.53357
476.5,1.54118
477,1.54883
477.5,1.55652
478,1.56426
478.5,1.57204
479,1.57987
479.5,1.58774
480,1.59565
480.5,1.60361
481,1.61162
481.5,1.61966
482,1.62776
482.5,1.63589
483,1.64407
483.5,1.6523
484,1.66057
484.5,1.66888
485,1.67724
485.5,1.68565
486,1.6941
486.5,1.70259
487,1.71113
487.5,1.71972
488,1.72835
488.5,1.73703
489,1.74575
489.5,1.75452
490,1.76334
490.5,1.7722
491,1.78111
491.5,1.79007
492,1.79907
492.5,1.80812
493,1.81722
493.5,1.82637
494,1.83556
494.5,1.8448
495,1.8541
495.5,1.86344
496,1.87283
496.5,1.88227
497,1.89175
497.5,1.90129
498,1.91088
498.5,1.92052
499,1.93021
499.5,1.93996
500,1.94975
500.5,1.9596
501,1.96949
501.5,1.97945
502,1.98945
502.5,1.99951
503,2.00962
503.5,2.01979
504,2.03001
504.5,2.04028
505,2.05061
505.5,2.061
506,2.07145
506.5,2.08195
507,2.0925
507.5,2.10312
508,2.11379
508.5,2.12453
509,2.13532
509.5,2.14617
510,2.15708
510.5,2.16806
511,2.17909
511.5,2.19018
512,2.20134
512.5,2.21256
513,2.22385
513.5,2.2352
514,2.24661
514.5,2.25809
515,2.26963
515.5,2.28124
516,2.29291
516.5,2.30466
517,2.31647
517.5,2.32835
518,2.3403
518.5,2.35232
519,2.36441
